Name,Title,Description
Journalism (JOUR),JOUR 3520.  Essential Reporting Skills.  1-2 Hours.,"Prerequisite or Corequisite:  JOUR 3510.  A study of practical reporting skills for gathering and presenting information, including basic math, fact-checking techniques, interviewing, speed writing, and radio and television formats Students taking this course for the second hour will learn Web presentation skills for reporting news."
Journalism (JOUR),JOUR 3530.  Special Topics in Journalism.  3 Hours.,Selected subjects of interest in journalism.
Journalism (JOUR),JOUR 3540.  The Law and Journalism.  3 Hours.,"A broad application of the principles of law to the mass media with emphasis on the print media. Topics including libel, privacy, obscenity, and free press-fair trial will be covered."
Journalism (JOUR),JOUR 3560.  Contemporary American Magazines.  3 Hours.,"Prerequisite:  Permission of instructor.  A survey of contemporary American magazines and their role in society. The course focuses on writing for specific aud- iences, interpreting policy and influence, resolving ethical questions, and reviewing production processes."
Journalism (JOUR),JOUR 3570.  Photojournalism.  3 Hours.,A basic course in the principles of news photography.  This course will provide students with the fundamental and practical skills needed to photograph news events for newspapers and magazines for both print and online use.
Journalism (JOUR),JOUR 4500.  Document Design.  3 Hours.,"Prerequisite:  ENGL 2060 or ENGL 2080, or permission of instructor.  A study of the theory of layout and design, including editorial decision-making, photo editing, and production technology for print and on-line media."
Journalism (JOUR),JOUR 4510.  Feature Writing.  3 Hours.,"Prerequisite: Permission of instructor. A study of the the- ory and practice of writing a variety of features for news- papers and magazines, with emphasis on intensive research, interviews, use of statistics, and the organization of long articles."
Journalism (JOUR),JOUR 4520.  Literary Journalism.  3 Hours.,"Prerequisite:  ENGL 2060 or ENGL 2080, JOUR 3510, or permission of instructor.  A study of the theory and practice of applying fiction techniques to journalistic fact. The course will explore the relationship between literature and journalism, especially in terms of style and subject matter."
Journalism (JOUR),"JOUR 4530.  Editorial, Column, and Review Writing.  3 Hours.","A study of the theory and practice of writing editorials, columns, and reviews."
Journalism (JOUR),JOUR 4540.  Journalism in the Digital Age.  3 Hours.,"Prerequisite:  JOUR 3510 or permission of instructor.  A study of journalistic writing and reporting techniques in the digital age, focusing on the Internet as a reporting tool, computer-assisted reporting, and methods to write effectively for online presentation."
Journalism (JOUR),JOUR 4550.  Reporting.  3 Hours.,"Prerequisite: JOUR 3510. An advanced course in reporting for the media. Emphasis will be on learning to cope with spe- cialized, often highly technical or complex information. Students will learn the fundamentals of covering local government, law enforcement, and the courts and will deal with the controversial issues of our time."
Journalism (JOUR),JOUR 4560.  The Converged Newsroom.  3 Hours.,"Prerequisites:  JOUR 3510 and JOUR 3520.  A study of the theory and practice of journalistic convergence for multiple media outlets, specifically emphasizing the production of written and related material suitable for converged media."
Journalism (JOUR),JOUR 4570.  Introduction to Sportswriting.  3 Hours.,"A study of the theory and practice of writing and reporting on sports for newspapers, magazines, and on-line publications.  The course will focus on the techniques of sports coverage, and the history of sports journalism and today's sports media culture."
Journalism (JOUR),JOUR 4700.  Directed Study in Journalism.  1-3 Hours.,"Prerequisite: JOUR 3510. Study in an area or subject not normally found in established courses offered by the department. Permission of advisor, instructor, and department head required. Forms must be completed before registration. May be repeated for credit."
Journalism (JOUR),JOUR 4800.  Internship in Journalism.  3-12 Hours.,"Supervised work at a newspaper, magazine, or related public- ation (traditional or online format). The amount of credit depends on the work requirements. Permission to enroll must be secured from the advisor and the department head at least one semester in advance of registration. Graded S/U."
Kinesiology/​Physical Education (KSPE),"KSPE 1010.  Mind, Body, Strength, and Fitness.  1 Hour.","Exercise sessions in the Fitness Center designed to improve strength, endurance, flexibility and overall health--the components of physical fitness.  Varied forms of exercises (yoga, circuit training, aerobics, plyometrics, etc.) will be applied to improve overall health."
Kinesiology/​Physical Education (KSPE),KSPE 1011.  Personal Fitness.  1 Hour.,"Designed for students who are motivated to improving fitness levels, managing body mass, and achieving optimal fitness by following a custom-made exercise plan."
Kinesiology/​Physical Education (KSPE),KSPE 1015.  Fundamentals of Yoga.  1 Hour.,"Theory and practice of basic yoga postures, breathing practices, stretching and relaxtion techniques as a method of improve flexibiiity, decrease stress and improve physical and mental well-being."
Kinesiology/​Physical Education (KSPE),KSPE 1020.  Weight Training.  1 Hour.,"A beginning course emphasizing proper weight lifting techniques and the benefits of weight training exercises. Students will train the major muscle groups.  Attention is given to weight room safety, policies and procedures."
Kinesiology/​Physical Education (KSPE),KSPE 1021.  Intermediate Weight Training.  1 Hour.,Students learn and practice new weight lifting techniques and exercises with higher percentage of maxes.
Kinesiology/​Physical Education (KSPE),KSPE 1022.  Advanced Weight Training.  1 Hour.,"Prerequisites:  Instructor permission.  Designed to learn power lifting and the Olympic lifts (the clean, the clean & jerk, and the snatch.)."
Kinesiology/​Physical Education (KSPE),KSPE 1030.  Step Aerobics.  1 Hour.,A beginning level course in the activity of stepping. Students train towards being able to step up for 30 continuous minutes.
Kinesiology/​Physical Education (KSPE),KSPE 1031.  Intermediate Step Aerobics.  1 Hour.,Prerequisite:  KSPE 1030.  An intermediate level course in the activity of stepping.
Kinesiology/​Physical Education (KSPE),KSPE 1040.  Fitness in Rhythms and Dance.  1 Hour.,"An introduction to the development of rhythmic skills, aerobic activities, dance movements, and exercises to improve physical fitness."
Kinesiology/​Physical Education (KSPE),KSPE 1050.  Fitness Walking.  1 Hour.,Basic walking is used as a modality of exercise and instruction focuses on how walking can be used as a lifetime fitness activity.  Students learn how to apply the basic principles of exercise and will be taught to monitor their pulse to assess exercise intensity.
Kinesiology/​Physical Education (KSPE),KSPE 1060.  Jogging.  1 Hour.,Jogging or running is used as the exercise modality.  Attention is given to the various training methods that runners use to improve their performance.
Kinesiology/​Physical Education (KSPE),KSPE 1070.  Snow Skiing I.  1 Hour.,A series of lessons designed for beginning to advanced snow skier.  A five day stay at an appropriate skiing location is required.  A fee is required.
Kinesiology/​Physical Education (KSPE),KSPE 1071.  Snow Skiing II.  1 Hour.,Prerequisite:  KSPE 1070.  For those who participated in KSPE 1070 and wish to make another ski trip.  A fee is required.
Kinesiology/​Physical Education (KSPE),KSPE 1080.  Beginning Tennis.  1 Hour.,"A beginning course in tennis stressing the basics of singles and doubles play.  Attention is given to the performance of the basic strokes as well as to the history, rules, etiquette and strategies of play."
Kinesiology/​Physical Education (KSPE),KSPE 1081.  Intermediate Tennis.  1 Hour.,A continuation of KSPE 1080 designed for those who wish to learn more advanced techniques in the game of tennis.  Attention is given to the improvement of the various strokes and to the development of advanced playing abilities.
Kinesiology/​Physical Education (KSPE),KSPE 1090.  Racquetball.  1 Hour.,A beginning course in racquetball emphasizing the basic rules and strategeies of play.  Attention is given to the skills needed to participate successfully in the sport.
Kinesiology/​Physical Education (KSPE),KSPE 1100.  Beginning Badminton.  1 Hour.,"A beginning course in badminton stressing the basic rules and strategies of play.  Attention is given to the skills, needed to participate successfully in the sport."
Kinesiology/​Physical Education (KSPE),KSPE 1110.  Archery.  1 Hour.,"Designed for beginning or novice archer.  Basic techniques of indoor target archery emphasizing the care and use of equipment, range safety, stance and shooting techniques, scoring and competition will be taught."
Kinesiology/​Physical Education (KSPE),KSPE 1120.  Beginning Golf.  1 Hour.,"A beginning course designed to teach the basics of the game of golf.  Instruction focuses on the grip, stance and basic swing pattern.  A fee is required."
Kinesiology/​Physical Education (KSPE),KSPE 1121.  Intermediate Golf.  1 Hour.,Provides instruction in all facets of the game of golf. Students work at mastering the basic skills by practicing various kinds of shots.  A fee may be required.
Kinesiology/​Physical Education (KSPE),KSPE 1150.  Bowling.  1 Hour.,"Instruction is directed to the history, terms, scoring and techniques of bowling.  Fee may be required."
Kinesiology/​Physical Education (KSPE),KSPE 1170.  Karate.  1 Hour.,An introduction to the basics of Karate.  Successful completion of the course requirements leads to yellow belt certification.
Kinesiology/​Physical Education (KSPE),KSPE 1240.  Beginning Swimming.  1 Hour.,"Red Cross instruction to equip the individual with the basic water safety skills and knowledge in order to make him or her reasonably safe while in, on or near the water. Designed for the non-swimmer."
Kinesiology/​Physical Education (KSPE),KSPE 1241.  Intermediate Swimming.  1 Hour.,"An introduction to a wide variety of swimming skills, surface dives, and turns."
Kinesiology/​Physical Education (KSPE),KSPE 1260.  Fitness Swimming.  1 Hour.,Principles and practices of distance and interval conditioning workouts. The course is designed to improve the skills of swimmers who already have a knowledge of swimming strokes.
Kinesiology/​Physical Education (KSPE),KSPE 1270.  Volleyball.  1 Hour.,"A beginning course designed to teach the fundamental skills, strategies and team concepts of volleyball.  Attention will be given to the mastery of skill development, rules, game etiquette, and historical information."
Kinesiology/​Physical Education (KSPE),KSPE 1280.  Techno Games and Exercise.  1 Hour.,"Designed to improve moderate to vigorous physical activity as well as health-related fitness components through the use of gaming technology (dancing, fitness, sports, adventures, etc.)."
Kinesiology/​Physical Education (KSPE),KSPE 1290.  Soccer.  1 Hour.,"An introductory course designed to present the fundamental skills, strategies, and team concepts of soccer.  Attention is given to the skills of dribbling, passing, shooting, trapping, heading and tackling."
Kinesiology/​Physical Education (KSPE),KSPE 1300.  Basketball.  1 Hour.,"An introductory course designed to present the fundamental skills, strategies, and team concepts of basketball. Attention is given to the improvement of the student's existing skill level."
Kinesiology/​Physical Education (KSPE),KSPE 1380.  Special Topics: Physical Activity.  1-2 Hours.,Course designed to allow participation in special physical education activities not offered in the regular curriculum (May be repeated).
Kinesiology/​Physical Education (KSPE),KSPE 1390.  Varsity Athletics.  1 Hour.,"Prerequisite:  Member of a VSU Varsity Athletics Team.  Development of skills, techniques and strategies of athletic performance through participation in the intercollegiate varsity athletic program.  May be taken once during any academic year, and may be repeated for credit.  Does not meet physical education activity requirements for education majors."
Kinesiology/​Physical Education (KSPE),KSPE 2000.  Health and Wellness for Life.  2 Hours.,"A course of study investigating the major health problems in modern society, with emphasis on methods of understanding and developing lifestyle changes for longer and healthier life.  Information on topics such as alcohol, drugs, stress management, nutrition, sexually transmitted diseases, pregnancy and parenthood, cigarette and tobacco use, cancer, and cardiovascular diseases will be discussed."
Kinesiology/​Physical Education (KSPE),KSPE 2010.  Activities and Games for Coaches and Teachers.  3 Hours.,"Prerequisite:   Declared health and physical education major or permission of the department head.   Instructional techniques primarily emphasizing elementary school physical education activities, dance, health-related fitness, and related content areas."
Kinesiology/​Physical Education (KSPE),KSPE 2020.  Coaching and Teaching Team Sports.  3 Hours.,"Prerequisite:  Declared health and physical education major or permission of the department head.  Instructional techniques primarily emphasizing middle and secondary physical education activities, team sports, and related content areas."
Kinesiology/​Physical Education (KSPE),KSPE 2070.  Lifeguard Training.  2 Hours.,Prerequisite:  Demonstrate swimming competency.  Red Cross course to lead to certification as a lifeguard.
Kinesiology/​Physical Education (KSPE),KSPE 2080.  Water Safety Instructor.  2 Hours.,Prerequisite:  Demonstrate swimming competency.  Red Cross course to lead to certification as swimming instructor.
Kinesiology/​Physical Education (KSPE),KSPE 2081.  Lifeguard Instructor Training.  2 Hours.,Prerequisites:  Red Cross Lifeguarding Certification.  Ability to meet the standard on all skills in CPR and First Aid Courses.  Leads to certification as a Red Cross Lifeguard Instructor.
Kinesiology/​Physical Education (KSPE),KSPE 2150.  First Aid - CPR.  2 Hours.,"A study of the techniques of emergency first aid, cardiopulmonary resuscitation (adult, child, and infant) and accident prevention.  Emphasis will be placed on examining the interrelationships among human behavior, the environment and accidents."
Kinesiology/​Physical Education (KSPE),KSPE 2999.  Entry to the Education Profession.  0 Hours.,"Graded Satisfactory/Unsatisfactory.  A required non-credit course for all teacher education candidates pursuing a VSU recommendation for initial certification; must be successfully completed prior to admission to teacher education.  Candidates are required to establish an electronic portfolio and provide evidence that all teacher education admission requirements have been satisfactorily met.  If an unsatisfactory grade is earned, the course must be repeated until a satisfactory grade is received."
Kinesiology/​Physical Education (KSPE),KSPE 3101.  Foundations & Technology in Health and Physical Education.  3 Hours.,"Also offered as CHPE 3101.  Prerequisite:  KSPE 2999:  The principles and scope of physical education, sport and physical education history and development, the importance of physical education, fitness measurement, as well as the technology use in health and physical education disciplines including, web research, email, and apple technologies."
Kinesiology/​Physical Education (KSPE),KSPE 3141.  First Aid/CPR and Care and Prevention of Athletic Injuries.  3 Hours.,"Also offered as CHPE 3141.  Prerequisite:  KSPE 2999:  Pertinent information relative to various techniques of emergency, first aid, cardiopulmonary resuscitation (infant, child, and adult) and accident prevention.  Students may obtain certification for American Red Cross CPR certification and first aid certification.  Exposure to basic concepts and techniques related to physical activity and athletic injury prevention, treatment, and rehabilitation."
Kinesiology/​Physical Education (KSPE),KSPE 3160.  Special Topics in Exercise Science.  1-4 Hours.,Prerequisite:  Permission of the instructor.  A flexible course of study dealing with current events or special topics in exercise science.  May be repeated.
Kinesiology/​Physical Education (KSPE),KSPE 3200.  Nutrition for Health and Human Performance.  3 Hours.,Also offered as CHPE 3200.  Prerequisite: KSPE 2999.  An introduction to the characteristics of the essential dietary nutrients and their respective roles in the body.  Emphasis is placed on the effects of nutritional practices on health and human performance.
Kinesiology/​Physical Education (KSPE),KSPE 3301.  Contemporary Health Issues.  2 Hours.,"Pertinent information relative to selective health content areas, including death and dying, human sexuality, character education, violence, and mental and emotional health.  Stress-related content will be infused into the mental and emotional health areas as well as many of the other content offerings in the course."
Kinesiology/​Physical Education (KSPE),KSPE 3401.  Instructional Planning and Evaluation.  3 Hours.,"Prerequisite:  KSPE 2999.  Provides the student with pertinent information relative to basic instructional and planning methodologies basic statistics, data analysis, assessment and evaluation procedures and instruments across the psychomotor, cognitive and affective domains, and the application of this content within the health and physical education settings."
Kinesiology/​Physical Education (KSPE),KSPE 3411.  Human Movement Applications.  4 Hours.,"Prerequisite:  KSPE 2999;  Also offered as CHPE 3411.  Information on neuroanatomy and neurophysiology relative to motor development and motor learning, coupled with functional anatomy as it pertains to the dynamics of human motion.  Emphasis is placed on mechanical analysis of human movement."
Kinesiology/​Physical Education (KSPE),KSPE 3420.  Exercise Physiology.  3 Hours.,"Prerequisite:  KSPE 2999; Also offered as CHPE 3420.  An understanding of how the body, from a functional standpoint, responds, adjusts, and adapts to exercise.  Topics include bioenergetics, neuromuscular concepts, cardiorespiratory considerations, physical training, and environmental concerns involving physical activity, athletic performance, and health-related fitness."
Kinesiology/​Physical Education (KSPE),KSPE 3450.  Comprehensive Health Education.  3 Hours.,"Prerequisite:  KSPE 2999;  An investigation of health content pertaining to nutrition, fitness, body weight/composition, alcohol, tobacco, drugs, infectious diseases, cardiovascular diseases, diabetes, chronic lung diseases, and cancer."
Kinesiology/​Physical Education (KSPE),KSPE 3460.  Health Education Methods and Materials.  3 Hours.,"Prerequisite:  KSPE 2999.  Pertinent information relative to selected health instructional techniques specifically addressed in the public school setting.  Attention to learning activities appropriate for school health programs in elementary, middle grade, and secondary schools, health education models, health promotion, and related content specific issues included in school health curricula.  Appropriate classroom management and motivational strategies for behavioral modification in health education.  Opportunities for classroom teaching experiences with micro-teaching and public school health teaching episodes."
Kinesiology/​Physical Education (KSPE),KSPE 3700.  Elementary Physical Education Methods and Content.  3 Hours.,Prerequisite:  KSPE 2999.  Designed to provide the student with information related to instruction in physical education methodologies and content for preschool through fifth grade public school students.  Field experiences in the public schools are required.
Kinesiology/​Physical Education (KSPE),KSPE 3911.  Diversity in Sport and Physical Education.  3 Hours.,"Prerequisite: KSPE 2999.  Introduction to physical education and sport for exceptional children and diverse populations. The course provides an overview of litigation and the passage of various federal laws pertaining to human diversity in physical education and sport, including diverse cultures, physical differences, communication diversity, behavior differences, sensory diversity, and family diversity.  Field experience in the public schools are required."
Kinesiology/​Physical Education (KSPE),KSPE 4220.  Management of Physical Education Programs.  3 Hours.,"Prerequisite: KSPE 2999; Also offered as CHPE 4220.  A study of administrative theory and principles as they relate to the process of planning, organizing, supervision, personnel, budget, facility design, risk management, and other issues that are related to operating physical education and sport programs in educational and community settings."
Kinesiology/​Physical Education (KSPE),KSPE 4580.  Directed Study in Physical Education.  1-3 Hours.,Prerequisite:  Approval of Instructor and Department Head. Development of an in-depth study of an approved topic of interest related to the field of physical education.
Kinesiology/​Physical Education (KSPE),KSPE 4710.  Middle Grade & Secondary Physical Education Methods & Content.  3 Hours.,"Prerequisite:  KSPE 2999.  This is a check-point course, and check-point requirements must be met.  Information related to instruction in physical education methodologies and content for middle grade and secondary public school students.  Field experience in public schools are required."
Kinesiology/​Physical Education (KSPE),KSPE 4780.  Internship in Physical Education.  6 Hours.,Prerequisite:  Completion of coursework and approval of department.
Kinesiology/​Physical Education (KSPE),KSPE 4790.  Student Teaching in Health and Physical Education.  10 Hours.,Prerequisite:  Completion of all requirements to student teach as listed in the university's undergraduate catalog.  Co-requisite: KSPE 4800.
Kinesiology/​Physical Education (KSPE),KSPE 4800.  Professional Practice Seminar.  2 Hours.,"Prerequisite:  Completion of all requirements to student teach as listed in the university's undergraduate catalog.  Co-requisite:  KSPE 4790.  Reflection of educational practices and refinement of concepts emanating from student teaching experience.  Presentations of electronic portfolios along with other related materials, including an exit exam, are required."
Latin (LATN),LATN 1001.  Beginning Latin Language and Introduction to Roman Culture I.  3 Hours.,"Emphasis on the development of proficiency and communicative competence at the novice level in the four basic skills: speaking, listening, reading, and writing. Awareness of various sociocultural aspects and the distinctiveness of certain cultural traditions. LATN 1001 is not open for credit to students with two or more years of high school Latin or the equivalent."
Latin (LATN),LATN 1002.  Beginning Latin Language and Introduction to Roman Culture II.  3 Hours.,"Prerequisite: LATN 1001 or the equivalent. A continuation of LATN 1001, with emphasis on proficiency and communicative competence at the novice level in the four basic skills: speaking, listening, reading, and writing. Awareness of various sociocultural aspects and the distinctiveness of certain cultural traditions."
Latin (LATN),LATN 1111.  Intensive Latin Language and Roman Culture.  3 Hours.,"Prerequisite: Two or more years of high school Latin or the equivalent. Emphasis on the development of proficiency and communicative competence at the novice level in the four basic skills: speaking, listening, reading, and writing. Awareness of various sociocultural aspects and the distinctiveness of certain cultural traditions. LATN 1111 is a one-semester combination of LATN 1001 and LATN 1002. This course is designed for those students not fully prepared for the 1002 level. LATN 1111 reviews the concepts presented in LATN 1001 and advances the student through the material of LATN 1002."
Latin (LATN),LATN 2001.  Intermediate Latin Language and Roman Culture.  3 Hours.,"Prerequisite: LATN 1002 or the equivalent. Emphasis on the development of proficiency and communicative competence at the intermediate level in the four basic skills: listening, reading, and writing, and some speaking within a limited context. Awareness and understanding of various sociocultural aspects and the distinctiveness of certain cultural traditions."
Latin (LATN),LATN 2002.  Fundamentals of Roman Literature and Roman Culture.  3 Hours.,"Prerequisite: LATN 2001 or the equivalent. Emphasis on epic poetry (Virgil's Aeneid) and on proficiency and communica- tive competence at the intermediate level in the four basic skills: listening, reading, and writing, and to some extent, speaking. Awareness and understanding of various socio- cultural aspects and the distinctiveness of certain cultural traditions."
Legal Assistant Studies (LEAS),LEAS 1100.  Introduction to Paralegalism.  3 Hours.,"An introduction to the field of paralegalism. The course will include the role of paralegal in the legal system, the regulation and ethics of practice and the skills necessary for successful practice."
Legal Assistant Studies (LEAS),LEAS 3200.  Legal Research I.  3 Hours.,"Prerequisite: LEAS 1100. A study of legal research methods utilizing state and federal sources. Students will develop professional skills as they read and analyze appellate court opinions, legislation and pleadings."
Legal Assistant Studies (LEAS),LEAS 3201.  Legal Research II.  3 Hours.,Prerequisite: LEAS 1100 and LEAS 3200. A continuation of Legal Research I. This course will emphasize computer assisted legal research skills as well as the preparation of legal documents.
Legal Assistant Studies (LEAS),LEAS 3210.  Pre-Trial Preparation and Procedures.  3 Hours.,"Prerequisite: LEAS 1100. The study of pre-trial procedures and tactics in civil and criminal cases. The course will include methods of investigation, interviewing clients, preparation of clients and witnesses for testifying, competency of evidence, preparation of interrogatories, other discovery methods, and pleadings."
Legal Assistant Studies (LEAS),LEAS 3230.  Criminal Law and Procedure for the Paralegal.  3 Hours.,"Prerequisite: LEAS 1100. The study of procedural and substantive criminal law. The application, interpretation, and enforcement of criminal law will be addressed. The role of the paralegal in the criminal justice system will be emphasized."
Legal Assistant Studies (LEAS),LEAS 3250.  Law Office Management.  3 Hours.,"Prerequisite: LEAS 1100.  The study of the business aspects of the practice of law.  Topics include appropriate business structure, office systems, marketing and development issues, staffing and personnel issues, liability insurance, managing time, technology, and billing.  Ethics and professionalism in dealing with clients and the general public will also be addressed."
Legal Assistant Studies (LEAS),LEAS 4200.  Family Law.  3 Hours.,"Prerequisite: LEAS 1100. The study of the applicable law surrounding family relationships. The issues of adoption, marriage, divorce, alimony, child custody and support, and property division will be addressed."
Legal Assistant Studies (LEAS),LEAS 4240.  Elder Law.  3 Hours.,"Prerequisite: LEAS 1100.  The study of the legal problems associated with the elderly and issues of aging.  Topics of discussion will include social, psychological, legal, and financial aspects of planning for the elderly.  Issues will include Medicare and Medicaid benefits, nursing home institutionalization, Social Security, and probate and estate planning."
Legal Assistant Studies (LEAS),LEAS 4250.  Trial Advocacy.  3 Hours.,An examination of all aspects of presenting a case in trial.  Students develop effective methods for analyzing and preparing cases for presentation in trial. Students will learn and use basic technical skills necessary as members of the University's Mock Trial Team at tournaments sponsored by the American Mock Trial Association.
Legal Assistant Studies (LEAS),LEAS 4251.  Trial Advocacy II.  3 Hours.,Also offered as POLS 4251.  Supervised study of all aspects of presenting a case in trial with practice of trial skills in a mock setting.  Students will compete in one or more mock trial competitions within the region and will write a research paper.  The course may be taken three times for credit.
Legal Assistant Studies (LEAS),LEAS 4260.  Alternative Dispute Resolution.  3 Hours.,"Also offered as POLS 4260.  Prerequisite:  LEAS 1100.  The study of various methods of alternative dispute resolution.  Topics include preparation for and techniques used in mediation, arbitration, and alternative dispute resolution.  Also addressed will be ethics and professionalism in dealing with represented and unrepresented individuals."
Legal Assistant Studies (LEAS),LEAS 4270.  Immigration Law.  3 Hours.,"An overview of U.S. immigration law with an emphasis on the paralegal's role.  Topics include preparation of visa applications, the admission and removal of immigrants and non-immigrants, and citizenship and naturalization."
Legal Assistant Studies (LEAS),LEAS 4290.  Tort Law.  3 Hours.,"Prerequisite:  LEAS 1100.  A basic study of the development of tort law in the United States.  Emphasis is placed on law as it pertains to negigence, strict liabitity, and intentional torts.  Current legal and ethical questions are examined."
Legal Assistant Studies (LEAS),LEAS 4700.  Directed Study in Legal Assistant Studies.  1-3 Hours.,"Prerequisites: Legal Assistant Studies major and LEAS 1100. Directed reading and research in selected areas of legal assistant studies. Topics examined will include those not normally found in established legal assistant studies courses. Regular conferences between instructor and student will be required. Permission of the advisor, in- structor and department head must be obtained prior to registration."
Legal Assistant Studies (LEAS),LEAS 4800.  Legal Assistant Studies Capstone.  3 Hours.,"Prerequisite:  LEAS 1100, LEAS 3200.  An integration of concepts and tools from previous curriculum in the degree program.  The course also provides students with the tools to evaluate critically and discuss ethics of the legal profession."
Legal Assistant Studies (LEAS),LEAS 4802.  Special Topics in Legal Assistant Studies.  3 Hours.,Prerequisite: LEAS 1100. Selected topics of interest in legal assistant studies.  The course may be repeated for credit if the topics are different.
Legal Assistant Studies (LEAS),LEAS 4900.  Internship in Legal Assistant Studies.  3 Hours.,"Prerequisite: Legal Assistant Studies major, LEAS 1100 and LEAS 3200. Supervised, practical experience in an appropriate legal setting. Permission of the advisor, instructor, and department head must be obtained prior to registration."
Library Science (LIBS),LIBS 1000.  Introduction to Library Resources.  1 Hour.,"Designed to promote an awareness of Valdosta State University Library Services and general information resources, including the role of information in society, research skills, the Internet, and critical thinking skills."
Library Science (LIBS),LIBS 2000.  Introduction to Specialized Library Resources.  1-2 Hours.,Offered at departmental request. A study of the reference sources essential to majors in the department requesting the course.
Linguistics (LING),LING 4000.  Principles of Language Study.  3 Hours.,"Prerequisite: ""C"" or better in one of the following: ENGL 2060, ENGL 2080, ENGL 2111, ENGL 2111H, ENGL 2112, ENGL 2112H, ENGL 2113, or ENGL 2113H.  A study of the nature, structure, and diversity of language, including English phonology (sounds), morphology (word formation), syntax (sentence structure), and semantics (meaning) contrasted with features of other selected languages and applied to fields such as literary study, written communication, and language acquisition."
Linguistics (LING),LING 4160.  Language in Society.  3 Hours.,"Prerequisite: ""C"" or better in one of the following: ENGL 2060, ENGL 2080, ENGL 2111, ENGL 2111H, ENGL 2112, ENGL 2112H, ENGL 2113, or ENGL 2113H.  A study of the nature of language and its use in society, including psychological and sociocultural variables in conversation, language varieties, multilingualism, world Englishes, and the development of language policy."
Literacy (LITR),LITR 3110.  Emergent Literacy Through Children's Literature and the Arts.  3 Hours.,"Prerequisites:  Appropriate 2999 course, and a minimum GPA of 2.75.  Co-requisite:  ELED 3190, or a practicum approved at the program level.  An integrated approach to incorporating emergent literacy skills with aesthetic appreciation and creative expression.  Emphasis is on methods for using children’s literature and the fine arts to develop life-long readers."
Literacy (LITR),LITR 3120.  Early Literacy.  3 Hours.,"Prerequisites: EDUC 2999 and a minimum GPA of 2.75.  Co-requisite: ELED 3190, or a practicum approved at the program level.  Introduction to content, theoretical perspectives, and evidence-based strategies for teaching children in the primary grades to read and write.  Major topics include the reading process, phonemic awareness, phonics, comprehension, fluency, and vocabulary.  Teacher candidates are expected to plan and implement learned skills and knowledge in a PreK-K classroom."
Literacy (LITR),LITR 3130.  Developing Literacy.  3 Hours.,"Prerequisites: EDUC 2999 course; LITR 3110; LITR 3120; and a minimum GPA of 2.75.  Co-requisite: ELED 3690, or a practicum approved at the program level.  Application of methods for teaching listening, speaking, reading, writing, viewing, and visually representing in a P-5 classrooms.  Instructional methods of processes for writing and comprehending various forms of texts; motivating students to read and write; developing vocabulary, comprehension strategies, and higher-order thinking; and applying technology are emphasized."
Literacy (LITR),LITR 4120.  Literacy Assessment and Applications.  3 Hours.,"Prerequisites:  Appropriate 2999 course; LITR 3110; LITR 3120; LITR 3130; and a minimum GPA of 2.75.  Emphasizes diagnostic and assessment strategies for corrective instruction for struggling elementary readers and writers.  The course includes causes of reading disability, methods of diagnosis, instructional methods for group and individual remedial work, strategies for successful test taking.  Teacher candidates will be required to apply their learned skills in tutoring experiences."
Management (MGNT),MGNT 3250.  Management and Organization Behavior.  3 Hours.,"Prerequisites:  ACCT 2101 and ECON 2106 with a grade of ""C"" or better.  An introduction to the discipline of management and contemporary management of organizations with major emphasis on organization behavior.  Topics include perception, attitude, personality, motivation, group dynamics, interpersonal communication, job design, learning theory, decision making, conflict, power, organizational politics, leadership, diversity, and organizational culture."
Management (MGNT),MGNT 3300.  Production and Operations Management.  3 Hours.,"Pre or Co-requisites: MGNT 3250 with a grade of ""C"" or better.  An overview of the concepts, strategies, and techniques for an organization's operations, including, including process design, quality management, capacity management, and inventory management.  A number of quantitative techniques are applied."
Management (MGNT),MGNT 3400.  Supply Chain Management.  3 Hours.,"Prerequisites:  MGNT 3250 with a grade of ""C"" or better.  An introduction to the discipline of supply chain management with emphasis on hands-on experience with supply chain technologies.  Major topics include supply chain coordination, supply chain resilience, supply chain sustainability, and supply chain integration."
Management (MGNT),MGNT 3450.  Management Information Systems.  3 Hours.,"Prerequisites:  MGNT 3250 with a grade of ""C"" or better; BUSA 2201, CS 1000 or ACED 2400 with a grade of ""C"" or better..  Information processing, meaning and role of information systems, information systems procedures, business functions of computers, into systems analysis and design, files and databases, office automations, data communication, behavioral and organizational implications, selection of hardware and software."
Management (MGNT),MGNT 3500.  Employment Law.  3 Hours.,"Prerequisites;  BUSA 2106 with a grade of ""C"" or better.  Legal aspects of human resources management from the perspective of both employer and employee.  The course will review the hiring process, management of a diverse workforce pay, benefits, terms and conditions of employment, and terminating employment.  Students will address a wide range of problems involving these issues and will learn strategies for avoiding legal conflict."
Management (MGNT),MGNT 3900.  Applied Entrepreneurship Skills.  3 Hours.,"Prerequisites:  MGNT 3250, and MKTG 3050 with a grade of ""C"" or better.  A study of the principles of entrepreneurship,combining theory and real-life examples, the course explores the psychological profile of entrepreneurial."
Management (MGNT),MGNT 3910.  Small Business Management.  3 Hours.,"Prerequisites:  MGNT 3250, and MKTG 3050 with a grade of ""C"" or better.  Fundamentals of small business management and operations.  Topics explored include the legal and operating ramifications involved in the selection of a business purchase or start as well as formal strategic planning inclusive of operational, financial, marketing, and human resources needs."
